id,data_subject_id,email,password_hash,breach_source,industry,text
1,rebecca74@yahoo.com,rebecca74@yahoo.com,46545f8c2b2c72f9380676cd3bcdcdce95eb1e9faf6fee3b188157c04b195ac2,"Sosa, Davidson and Graves",healthcare,"rebecca74@yahoo.com | johnson.info | leaked from Sosa, Davidson and Graves"
2,gomezjulia@gmail.com,gomezjulia@gmail.com,7f2a6f9aa90a7f8497ee5ff04f32961e914a71560bedcc6499d1a3e18292832e,Garrison PLC,retail,gomezjulia@gmail.com | novak.com | leaked from Garrison PLC
3,lgarza@hotmail.com,lgarza@hotmail.com,5c37048c1cf9c0220ee6a93dd63abba421071b52a39373cbae5fbabb9e655786,Edwards-Peterson,retail,lgarza@hotmail.com | english.info | leaked from Edwards-Peterson
4,ngonzalez@hotmail.com,ngonzalez@hotmail.com,c89bfe397b13e33ef218e7199c73902509c957c09a217028e30f0e3e68c510b0,Barnes-Gonzalez,finance,ngonzalez@hotmail.com | alvarado.net | leaked from Barnes-Gonzalez
5,zjennings@hotmail.com,zjennings@hotmail.com,90b86c1732707c68e10ded646240dab63b63d491ea5f71cb6eab1231ec15cc20,Mcdonald-Hobbs,gov,zjennings@hotmail.com | kelly.org | leaked from Mcdonald-Hobbs
6,brentgomez@gmail.com,brentgomez@gmail.com,941db14b747905787a443c7658c7ba2172b55d0999f4d2403d78be1c4c0e3c34,Flores-Stephens,finance,brentgomez@gmail.com | pena.biz | leaked from Flores-Stephens
7,kevinclayton@yahoo.com,kevinclayton@yahoo.com,61adc20cfc38089618210332588425fab8be3184e86976d8cf479375b220e988,Garcia-Davis,gov,kevinclayton@yahoo.com | hill.com | leaked from Garcia-Davis
8,eadams@hotmail.com,eadams@hotmail.com,f2ca8a469dfa05b6fedbf4d98247755301cf0a9310e4da82ef7328023dd7fcf8,Smith Ltd,gov,eadams@hotmail.com | lynch.com | leaked from Smith Ltd
9,jenniferlong@yahoo.com,jenniferlong@yahoo.com,b49e15ac10c633cb743415f6376e7c955307e8f45a2222ae4ac1a1305db5918c,Haynes Group,healthcare,jenniferlong@yahoo.com | gonzalez-pugh.com | leaked from Haynes Group
10,robert22@yahoo.com,robert22@yahoo.com,895ef41eca674cb7972ee1d9e76cf8e5079043c1a5df3456d8d8683f7cd3090b,Welch Ltd,finance,robert22@yahoo.com | brown.com | leaked from Welch Ltd
11,amy90@hotmail.com,amy90@hotmail.com,d48aadf58e7db0984405ee6f610a4bfb7764e307137289f4f3687b56abecc1df,James-Reynolds,healthcare,amy90@hotmail.com | thompson.info | leaked from James-Reynolds
12,bjohnson@gmail.com,bjohnson@gmail.com,d859e157ca600bdbc7471b6cbc5bd0c8f7cf9d9269f4a53e3e699747cd9dbbd0,Ruiz and Sons,gaming,bjohnson@gmail.com | lawson-best.org | leaked from Ruiz and Sons
13,qgregory@hotmail.com,qgregory@hotmail.com,d0367093eccd4f33a1fc37624d67236b1a7245babd3dbe6b4c270f68ac9c3a74,"Arellano, Jimenez and Williamson",gaming,"qgregory@hotmail.com | logan.com | leaked from Arellano, Jimenez and Williamson"
14,hawkinssarah@hotmail.com,hawkinssarah@hotmail.com,967a1627b1c353727b604464e8c221e1515a3205e2f9a433118c48962dd4f1f2,"Phillips, Patterson and Wood",gov,"hawkinssarah@hotmail.com | ellis-richardson.com | leaked from Phillips, Patterson and Wood"
15,kararodriguez@hotmail.com,kararodriguez@hotmail.com,74cbebd28dd77c3f51cb60ced72d716f932967dc46b5cedfb5a1609a384d1a0e,Fleming-Guerrero,gaming,kararodriguez@hotmail.com | aguilar.com | leaked from Fleming-Guerrero
16,timothy89@yahoo.com,timothy89@yahoo.com,3322ef02d5c992dfd8bbcdbb8e1251ca3c66f12b797de636d5f46944df93650b,Jones-Howell,gaming,timothy89@yahoo.com | mitchell-james.org | leaked from Jones-Howell
17,parkerramirez@gmail.com,parkerramirez@gmail.com,e2db3fe5827d9a85afbd151663ca75b07d907dfcc8a222370dd727b7f1f74ee6,"Baker, Flores and Perez",gov,"parkerramirez@gmail.com | scott.biz | leaked from Baker, Flores and Perez"
18,jasonthomas@hotmail.com,jasonthomas@hotmail.com,190d04b51a06ea5b562f4f0f817890ffe4f462c8906c132f85d928d0696722bc,Hess-Sanchez,gov,jasonthomas@hotmail.com | cummings.info | leaked from Hess-Sanchez
19,valerie72@yahoo.com,valerie72@yahoo.com,971cf580fb4351b71bf192bc573837dc5da4e41c08c867f37e9a8f2a5f117911,Rogers LLC,finance,valerie72@yahoo.com | rodriguez.com | leaked from Rogers LLC
20,mlee@yahoo.com,mlee@yahoo.com,387c1537cbcb6668a3c4f6e6ca12d42ae5931786b91525fb6fadc86168748ba0,Griffin Inc,retail,mlee@yahoo.com | mckay.info | leaked from Griffin Inc
21,acuevas@gmail.com,acuevas@gmail.com,0d196a6234ed58e70ba10afd8b9e1a2fb66a546125a2f16521def0729e8b79f6,"Montoya, Brown and Smith",finance,"acuevas@gmail.com | pierce.org | leaked from Montoya, Brown and Smith"
22,wporter@hotmail.com,wporter@hotmail.com,5cb703c30513781561153f1f64ea5f0c93377596cd373da80f62724616dd98f9,"Grimes, Bailey and Walker",retail,"wporter@hotmail.com | bailey.net | leaked from Grimes, Bailey and Walker"
23,kurtclark@hotmail.com,kurtclark@hotmail.com,778be95de88b7c6bcc4d4e3a57e02c8618ffc39b4bb86e1cbe08429dcbc6dfea,Hernandez-Anderson,gov,kurtclark@hotmail.com | wade.com | leaked from Hernandez-Anderson
24,robertgross@gmail.com,robertgross@gmail.com,27709ac4133032b971bca871186a87ee253e4d946058972d0c5a941e315fb1f0,"Greene, Warren and Moore",healthcare,"robertgross@gmail.com | williams-gomez.net | leaked from Greene, Warren and Moore"
25,zwells@gmail.com,zwells@gmail.com,4e194246eab556eafd46466eef559b5b60fd7b0b57ec06358831d7b1dbc05161,"Montoya, Perez and Jones",gov,"zwells@gmail.com | mendez.com | leaked from Montoya, Perez and Jones"
26,lisarodriguez@hotmail.com,lisarodriguez@hotmail.com,78f49578f640df15857ada14fa31188cb998abcc202dfb836a9da086d045d04b,"Hernandez, Lopez and Petersen",gov,"lisarodriguez@hotmail.com | johnston.com | leaked from Hernandez, Lopez and Petersen"
27,daniel87@yahoo.com,daniel87@yahoo.com,6e890bd1bdf7268c1aab93a08d661c7a25e21298f5226de6535ec2a959b269e2,Mcbride Ltd,healthcare,daniel87@yahoo.com | flores.com | leaked from Mcbride Ltd
28,fcastro@hotmail.com,fcastro@hotmail.com,b62454cd159ce279a5754aa7aa4ffa1361596831c4ddeaac11a3cea4b5306e8a,Hood Ltd,gaming,fcastro@hotmail.com | hendrix-barrett.com | leaked from Hood Ltd
29,johnsonbrandy@gmail.com,johnsonbrandy@gmail.com,3a7c21bd855a51f9dfeea683adf3cf045edd042158b1274b1f950a9d3e248f10,Williams-Humphrey,finance,johnsonbrandy@gmail.com | moore-ortiz.com | leaked from Williams-Humphrey
30,davisholly@hotmail.com,davisholly@hotmail.com,cf2b10b9e6b8234e47740e895f1381b307a3c91f0a53ad753b3d68cc0839bc4a,"Bennett, Sandoval and Martinez",healthcare,"davisholly@hotmail.com | aguilar-heath.com | leaked from Bennett, Sandoval and Martinez"
