id,data_subject_id,url,brand,label,text
1,travismurphy@smith-mccarty.com,https://rhodes.info/break/treat,Apple,benign,Apple login at https://rhodes.info/break/treat for travismurphy@smith-mccarty.com
2,christensenbrenda@lin.com,https://singh.com/poor/hot/realize,Facebook,benign,Facebook login at https://singh.com/poor/hot/realize for christensenbrenda@lin.com
3,debbie98@yahoo.com,https://stephenson.com/responsibility/citizen/mean,NAB,phish,NAB login at https://stephenson.com/responsibility/citizen/mean for debbie98@yahoo.com
4,lawrence23@yahoo.com,https://williams.com/change/evening,ANZ,benign,ANZ login at https://williams.com/change/evening for lawrence23@yahoo.com
5,zallison@moody.net,https://leach.net/them/floor,Facebook,benign,Facebook login at https://leach.net/them/floor for zallison@moody.net
6,mgarcia@hotmail.com,https://secure-dillon.org/space/ready,Facebook,phish,Facebook login at https://secure-dillon.org/space/ready for mgarcia@hotmail.com
7,msmith@gmail.com,https://rangel.info/common/pick/wall,ANZ,benign,ANZ login at https://rangel.info/common/pick/wall for msmith@gmail.com
8,mark85@gmail.com,https://ellis.com/each/impact/new,PayPal,phish,PayPal login at https://ellis.com/each/impact/new for mark85@gmail.com
9,paulmartinez@mcintyre.com,https://secure-oconnell.com/reduce/within,Facebook,phish,Facebook login at https://secure-oconnell.com/reduce/within for paulmartinez@mcintyre.com
10,gainesronald@yahoo.com,https://smith-johnson.net/energy/produce/event,ANZ,phish,ANZ login at https://smith-johnson.net/energy/produce/event for gainesronald@yahoo.com
11,john43@morris.com,https://secure-navarro.com/bank/decade,NAB,phish,NAB login at https://secure-navarro.com/bank/decade for john43@morris.com
12,audrey70@yahoo.com,https://johnston.org/those/prove,NAB,benign,NAB login at https://johnston.org/those/prove for audrey70@yahoo.com
13,doris56@smith-garcia.net,https://secure-quinn.com/southern,Microsoft,phish,Microsoft login at https://secure-quinn.com/southern for doris56@smith-garcia.net
14,jamie69@clark.com,https://secure-lopez.net/best,NAB,phish,NAB login at https://secure-lopez.net/best for jamie69@clark.com
