id,data_subject_id,url,brand,label,text
1,prestonchad@wilson.org,https://wilson-taylor.net/help/any,Facebook,benign,Facebook login at https://wilson-taylor.net/help/any for prestonchad@wilson.org
2,henrybrandon@gmail.com,https://bowman-garcia.com/message/ok,Microsoft,phish,Microsoft login at https://bowman-garcia.com/message/ok for henrybrandon@gmail.com
3,tkelly@hotmail.com,https://duarte-jones.com/large/only,Facebook,benign,Facebook login at https://duarte-jones.com/large/only for tkelly@hotmail.com
4,hdillon@yahoo.com,https://reyes.net/sometimes/room,ANZ,benign,ANZ login at https://reyes.net/sometimes/room for hdillon@yahoo.com
5,choffman@yahoo.com,https://bird.net/article/especially/doctor,Apple,benign,Apple login at https://bird.net/article/especially/doctor for choffman@yahoo.com
6,elizabeth95@palmer-hill.com,https://fuller.com/he/even/particularly,PayPal,benign,PayPal login at https://fuller.com/he/even/particularly for elizabeth95@palmer-hill.com
7,vryan@stephens-bright.com,https://herrera.com/and,Amazon,phish,Amazon login at https://herrera.com/and for vryan@stephens-bright.com
8,michaeloconnell@yahoo.com,https://holloway-pope.org/treat,ANZ,phish,ANZ login at https://holloway-pope.org/treat for michaeloconnell@yahoo.com
9,cynthia07@yahoo.com,https://secure-gonzales.com/nice/including,ANZ,phish,ANZ login at https://secure-gonzales.com/nice/including for cynthia07@yahoo.com
10,edoyle@fowler.info,https://hernandez.com/entire,Microsoft,phish,Microsoft login at https://hernandez.com/entire for edoyle@fowler.info
11,richardsnyder@hotmail.com,https://phillips.com/then/its,Apple,phish,Apple login at https://phillips.com/then/its for richardsnyder@hotmail.com
12,olandry@ball-boone.com,https://chaney.net/small,NAB,phish,NAB login at https://chaney.net/small for olandry@ball-boone.com
13,carpenterjamie@hotmail.com,https://lopez.com/record/day,Amazon,benign,Amazon login at https://lopez.com/record/day for carpenterjamie@hotmail.com
14,samuel69@murray-thompson.com,https://saunders.biz/single,Microsoft,phish,Microsoft login at https://saunders.biz/single for samuel69@murray-thompson.com
15,geraldmcbride@padilla-hanson.com,https://murray.com/season,Apple,benign,Apple login at https://murray.com/season for geraldmcbride@padilla-hanson.com
16,ustout@hotmail.com,https://pierce.info/mother,Amazon,phish,Amazon login at https://pierce.info/mother for ustout@hotmail.com
17,vcrane@hotmail.com,https://reid-nelson.info/paper/dinner,NAB,benign,NAB login at https://reid-nelson.info/paper/dinner for vcrane@hotmail.com
