id,data_subject_id,url,brand,label,text
1,allenevans@hotmail.com,https://stein-rodriguez.com/bed/them/science,Microsoft,benign,Microsoft login at https://stein-rodriguez.com/bed/them/science for allenevans@hotmail.com
2,lloydgary@morse.info,https://rivas.com/serious,Amazon,phish,Amazon login at https://rivas.com/serious for lloydgary@morse.info
3,rachel09@lawrence.com,https://secure-wood.com/modern,NAB,phish,NAB login at https://secure-wood.com/modern for rachel09@lawrence.com
4,fieldstaylor@gmail.com,https://secure-king-cook.net/try,Microsoft,benign,Microsoft login at https://secure-king-cook.net/try for fieldstaylor@gmail.com
5,josephbryant@hotmail.com,https://secure-martin.com/next/security,Apple,phish,Apple login at https://secure-martin.com/next/security for josephbryant@hotmail.com
6,jonathanphillips@martinez.net,https://daniel.com/at/under/professor,ANZ,phish,ANZ login at https://daniel.com/at/under/professor for jonathanphillips@martinez.net
7,william86@hotmail.com,https://tyler-cummings.net/apply/machine/hear,PayPal,benign,PayPal login at https://tyler-cummings.net/apply/machine/hear for william86@hotmail.com
8,maria57@walker-miller.org,https://smith.org/key/machine/before,Amazon,phish,Amazon login at https://smith.org/key/machine/before for maria57@walker-miller.org
9,sarah64@hotmail.com,https://wells.com/green/hit,Microsoft,phish,Microsoft login at https://wells.com/green/hit for sarah64@hotmail.com
10,edgar55@gmail.com,https://cowan-sosa.com/light/century,Microsoft,phish,Microsoft login at https://cowan-sosa.com/light/century for edgar55@gmail.com
11,gonzalezjennifer@hotmail.com,https://campbell.com/family/explain/something,NAB,benign,NAB login at https://campbell.com/family/explain/something for gonzalezjennifer@hotmail.com
12,diazdaniel@hotmail.com,https://secure-obrien.com/sit/different,Amazon,phish,Amazon login at https://secure-obrien.com/sit/different for diazdaniel@hotmail.com
13,tanyastout@sanders-lyons.info,https://secure-morris-garcia.com/society/relate/analysis,ANZ,phish,ANZ login at https://secure-morris-garcia.com/society/relate/analysis for tanyastout@sanders-lyons.info
14,gavin24@golden.com,https://secure-lewis.org/join,Facebook,benign,Facebook login at https://secure-lewis.org/join for gavin24@golden.com
15,nwagner@arnold-sawyer.com,https://lane-randolph.com/keep,Apple,benign,Apple login at https://lane-randolph.com/keep for nwagner@arnold-sawyer.com
16,eberger@gray-williams.info,https://mooney.com/per,ANZ,phish,ANZ login at https://mooney.com/per for eberger@gray-williams.info
17,richardscarly@yahoo.com,https://reeves.com/television/leave/let,ANZ,phish,ANZ login at https://reeves.com/television/leave/let for richardscarly@yahoo.com
18,kevans@vasquez.com,https://willis-dixon.com/people/hear/property,Apple,phish,Apple login at https://willis-dixon.com/people/hear/property for kevans@vasquez.com
19,bryanblanchard@kelly-rivera.com,https://campbell-davila.info/nation/magazine/region,PayPal,benign,PayPal login at https://campbell-davila.info/nation/magazine/region for bryanblanchard@kelly-rivera.com
20,rita91@gmail.com,https://strickland.com/mean/poor,ANZ,phish,ANZ login at https://strickland.com/mean/poor for rita91@gmail.com
21,ltucker@yahoo.com,https://duffy.org/my,NAB,benign,NAB login at https://duffy.org/my for ltucker@yahoo.com
22,brandon78@welch.com,https://hansen-williams.com/serve/international,Facebook,benign,Facebook login at https://hansen-williams.com/serve/international for brandon78@welch.com
23,walkerandrew@hotmail.com,https://richardson.com/section/itself,Microsoft,phish,Microsoft login at https://richardson.com/section/itself for walkerandrew@hotmail.com
24,michaelnolan@yahoo.com,https://johnson.info/power/it,NAB,benign,NAB login at https://johnson.info/power/it for michaelnolan@yahoo.com
25,michaelafloyd@vazquez.com,https://nixon.com/produce/item/away,Apple,benign,Apple login at https://nixon.com/produce/item/away for michaelafloyd@vazquez.com
26,elliottmichelle@hotmail.com,https://kennedy.org/produce/left/never,NAB,phish,NAB login at https://kennedy.org/produce/left/never for elliottmichelle@hotmail.com
