id,data_subject_id,url,brand,label,text
1,gbyrd@gmail.com,https://martinez.com/discuss/be,PayPal,phish,PayPal login at https://martinez.com/discuss/be for gbyrd@gmail.com
2,hollymills@jensen.com,https://secure-miller.com/television/send,NAB,phish,NAB login at https://secure-miller.com/television/send for hollymills@jensen.com
3,rkelly@yahoo.com,https://rangel-boone.com/month/serious,NAB,benign,NAB login at https://rangel-boone.com/month/serious for rkelly@yahoo.com
4,meyerkatherine@hotmail.com,https://johnson-chambers.com/coach,Facebook,benign,Facebook login at https://johnson-chambers.com/coach for meyerkatherine@hotmail.com
5,hhicks@murray.info,https://thompson.net/determine/apply,Apple,phish,Apple login at https://thompson.net/determine/apply for hhicks@murray.info
6,montgomerydonna@edwards.com,https://secure-gutierrez.com/major/look/with,Amazon,phish,Amazon login at https://secure-gutierrez.com/major/look/with for montgomerydonna@edwards.com
7,isabellabradley@fischer.com,https://hall-peters.org/seat,Apple,benign,Apple login at https://hall-peters.org/seat for isabellabradley@fischer.com
8,rwright@gmail.com,https://hanson.org/room,PayPal,phish,PayPal login at https://hanson.org/room for rwright@gmail.com
9,wesley52@baker-hill.com,https://secure-lyons.com/paper/probably,Facebook,phish,Facebook login at https://secure-lyons.com/paper/probably for wesley52@baker-hill.com
10,harrispenny@yates-navarro.com,https://gutierrez.info/thousand/international,Apple,phish,Apple login at https://gutierrez.info/thousand/international for harrispenny@yates-navarro.com
11,christopherleonard@gmail.com,https://clay-moore.biz/happen,ANZ,phish,ANZ login at https://clay-moore.biz/happen for christopherleonard@gmail.com
12,danielshelton@morales.com,https://secure-murphy.net/dark/win/avoid,Facebook,phish,Facebook login at https://secure-murphy.net/dark/win/avoid for danielshelton@morales.com
13,james11@hensley-dixon.com,https://preston-hartman.biz/high/drive/eye,Facebook,benign,Facebook login at https://preston-hartman.biz/high/drive/eye for james11@hensley-dixon.com
14,donald41@hotmail.com,https://moran.com/individual,PayPal,phish,PayPal login at https://moran.com/individual for donald41@hotmail.com
15,gregory46@lambert.biz,https://stevens-stephenson.com/arm,ANZ,phish,ANZ login at https://stevens-stephenson.com/arm for gregory46@lambert.biz
16,wilsonmason@yahoo.com,https://crane.com/suddenly,ANZ,phish,ANZ login at https://crane.com/suddenly for wilsonmason@yahoo.com
17,igonzalez@gmail.com,https://anderson-guzman.com/past/item,Apple,phish,Apple login at https://anderson-guzman.com/past/item for igonzalez@gmail.com
18,bradley01@yahoo.com,https://secure-weber-stevens.biz/project/challenge/reduce,Microsoft,phish,Microsoft login at https://secure-weber-stevens.biz/project/challenge/reduce for bradley01@yahoo.com
19,sethodonnell@gmail.com,https://pena.com/skin/risk/reveal,ANZ,phish,ANZ login at https://pena.com/skin/risk/reveal for sethodonnell@gmail.com
20,ukoch@hotmail.com,https://watson.com/store/thing/leave,NAB,phish,NAB login at https://watson.com/store/thing/leave for ukoch@hotmail.com
21,teresa18@yahoo.com,https://secure-poole-waters.com/close/thing,ANZ,phish,ANZ login at https://secure-poole-waters.com/close/thing for teresa18@yahoo.com
22,johnsongerald@kelly.net,https://johnson-allen.com/customer,Microsoft,phish,Microsoft login at https://johnson-allen.com/customer for johnsongerald@kelly.net
23,michael30@washington.biz,https://secure-acevedo-moran.com/old,ANZ,benign,ANZ login at https://secure-acevedo-moran.com/old for michael30@washington.biz
24,joseph42@rodgers.org,https://secure-solis.info/improve/table/tree,PayPal,benign,PayPal login at https://secure-solis.info/improve/table/tree for joseph42@rodgers.org
25,thompsonbrittany@anderson.com,https://wyatt.com/kid/floor/so,NAB,phish,NAB login at https://wyatt.com/kid/floor/so for thompsonbrittany@anderson.com
26,aliciacalhoun@gmail.com,https://secure-brady.net/think/follow/shake,Microsoft,benign,Microsoft login at https://secure-brady.net/think/follow/shake for aliciacalhoun@gmail.com
27,kelseybrown@yahoo.com,https://secure-martinez.com/wish/why/century,Amazon,benign,Amazon login at https://secure-martinez.com/wish/why/century for kelseybrown@yahoo.com
28,wknapp@brown.com,https://secure-lewis-hall.com/tonight/huge,ANZ,phish,ANZ login at https://secure-lewis-hall.com/tonight/huge for wknapp@brown.com
29,jessica67@gmail.com,https://beasley-harris.org/pretty/woman/space,NAB,phish,NAB login at https://beasley-harris.org/pretty/woman/space for jessica67@gmail.com
30,taylordoyle@bright-brown.com,https://osborne.com/trouble/notice,Apple,benign,Apple login at https://osborne.com/trouble/notice for taylordoyle@bright-brown.com
31,david98@rhodes.com,https://mckenzie.org/ask/memory/learn,Apple,phish,Apple login at https://mckenzie.org/ask/memory/learn for david98@rhodes.com
32,anna13@gmail.com,https://secure-erickson.biz/television/group/if,Facebook,phish,Facebook login at https://secure-erickson.biz/television/group/if for anna13@gmail.com
33,sharpsarah@clements.biz,https://secure-mcintyre-harrison.com/attorney,PayPal,benign,PayPal login at https://secure-mcintyre-harrison.com/attorney for sharpsarah@clements.biz
34,rosalesmichael@cowan-baker.com,https://maxwell.com/house,Microsoft,benign,Microsoft login at https://maxwell.com/house for rosalesmichael@cowan-baker.com
35,mkey@gmail.com,https://garrett-patterson.com/necessary/drug/unit,Apple,phish,Apple login at https://garrett-patterson.com/necessary/drug/unit for mkey@gmail.com
36,bstark@weaver-miller.biz,https://melendez.info/father,ANZ,phish,ANZ login at https://melendez.info/father for bstark@weaver-miller.biz
37,silvagabrielle@bean-holt.info,https://hughes.net/modern/sort/rather,Amazon,phish,Amazon login at https://hughes.net/modern/sort/rather for silvagabrielle@bean-holt.info
38,yalvarez@hotmail.com,https://miles-merritt.info/evidence/brother/paper,Facebook,phish,Facebook login at https://miles-merritt.info/evidence/brother/paper for yalvarez@hotmail.com
39,kerrdavid@anderson.org,https://howard-miller.com/continue/treat/program,ANZ,phish,ANZ login at https://howard-miller.com/continue/treat/program for kerrdavid@anderson.org
40,judith53@yahoo.com,https://secure-williams-rivera.org/everyone/poor,NAB,benign,NAB login at https://secure-williams-rivera.org/everyone/poor for judith53@yahoo.com
41,piercekimberly@gmail.com,https://robinson-nelson.org/believe/southern/ball,Amazon,phish,Amazon login at https://robinson-nelson.org/believe/southern/ball for piercekimberly@gmail.com
42,richardtorres@gmail.com,https://daniel.com/cell/author,PayPal,phish,PayPal login at https://daniel.com/cell/author for richardtorres@gmail.com
43,fshaw@ramirez-gordon.org,https://secure-travis-murphy.org/protect,PayPal,phish,PayPal login at https://secure-travis-murphy.org/protect for fshaw@ramirez-gordon.org
