id,data_subject_id,url,brand,label,text
1,tracyhawkins@hotmail.com,https://jensen.org/growth/beyond/us,Microsoft,phish,Microsoft login at https://jensen.org/growth/beyond/us for tracyhawkins@hotmail.com
2,rebeccabrown@cabrera.com,https://brown.com/nearly,NAB,phish,NAB login at https://brown.com/nearly for rebeccabrown@cabrera.com
3,emilyross@ryan.biz,https://chavez.biz/these/reflect/black,Amazon,phish,Amazon login at https://chavez.biz/these/reflect/black for emilyross@ryan.biz
4,vfry@hotmail.com,https://secure-david.com/also,ANZ,benign,ANZ login at https://secure-david.com/also for vfry@hotmail.com
5,jonathanramsey@hotmail.com,https://stephens-tate.org/imagine,NAB,benign,NAB login at https://stephens-tate.org/imagine for jonathanramsey@hotmail.com
6,wvillegas@hotmail.com,https://secure-palmer.net/western,ANZ,benign,ANZ login at https://secure-palmer.net/western for wvillegas@hotmail.com
7,zhernandez@yahoo.com,https://adkins.com/method/though,Apple,phish,Apple login at https://adkins.com/method/though for zhernandez@yahoo.com
8,fmartin@potter-jones.com,https://secure-todd.org/member/worker,Amazon,phish,Amazon login at https://secure-todd.org/member/worker for fmartin@potter-jones.com
9,kmoreno@singh-williamson.com,https://secure-waters.com/analysis,NAB,phish,NAB login at https://secure-waters.com/analysis for kmoreno@singh-williamson.com
10,sonyajones@parker.com,https://martin.com/the/whole/often,Apple,phish,Apple login at https://martin.com/the/whole/often for sonyajones@parker.com
11,stacy70@thomas.com,https://secure-jenkins.com/Republican,NAB,phish,NAB login at https://secure-jenkins.com/Republican for stacy70@thomas.com
12,danielsdesiree@gmail.com,https://secure-thomas-kirby.com/process,NAB,phish,NAB login at https://secure-thomas-kirby.com/process for danielsdesiree@gmail.com
13,zjimenez@bates-johnson.biz,https://secure-king.com/once,Amazon,phish,Amazon login at https://secure-king.com/once for zjimenez@bates-johnson.biz
14,markturner@hotmail.com,https://dickson.org/near,NAB,benign,NAB login at https://dickson.org/near for markturner@hotmail.com
15,nkrueger@butler.com,https://craig.com/understand,Amazon,phish,Amazon login at https://craig.com/understand for nkrueger@butler.com
16,richardanderson@hotmail.com,https://buchanan-morales.biz/detail/man/buy,Microsoft,benign,Microsoft login at https://buchanan-morales.biz/detail/man/buy for richardanderson@hotmail.com
17,vanessa89@boone.com,https://secure-scott.com/its/Republican/enough,Microsoft,benign,Microsoft login at https://secure-scott.com/its/Republican/enough for vanessa89@boone.com
18,pthompson@webb.org,https://tapia-townsend.com/write/level,Microsoft,benign,Microsoft login at https://tapia-townsend.com/write/level for pthompson@webb.org
19,mackenzieadams@williams.com,https://jones-kim.com/girl/democratic/notice,Facebook,benign,Facebook login at https://jones-kim.com/girl/democratic/notice for mackenzieadams@williams.com
20,daughertywilliam@wood-mcdaniel.info,https://combs-parker.com/game,NAB,phish,NAB login at https://combs-parker.com/game for daughertywilliam@wood-mcdaniel.info
21,gardneroscar@gmail.com,https://williams.com/hit/include/nothing,ANZ,benign,ANZ login at https://williams.com/hit/include/nothing for gardneroscar@gmail.com
22,castillofelicia@gmail.com,https://secure-byrd.com/yet/source,Apple,phish,Apple login at https://secure-byrd.com/yet/source for castillofelicia@gmail.com
23,michaelmegan@parker.com,https://secure-hernandez-jenkins.com/education/different,ANZ,phish,ANZ login at https://secure-hernandez-jenkins.com/education/different for michaelmegan@parker.com
24,nobleheather@gmail.com,https://bennett.info/professional/something,Amazon,phish,Amazon login at https://bennett.info/professional/something for nobleheather@gmail.com
25,jchan@clark.com,https://secure-webb.com/writer/sing,ANZ,phish,ANZ login at https://secure-webb.com/writer/sing for jchan@clark.com
26,justin01@johnson.com,https://anderson-torres.com/personal,Amazon,phish,Amazon login at https://anderson-torres.com/personal for justin01@johnson.com
27,whanna@herrera.com,https://schultz-martinez.com/theory/thus/cup,Amazon,phish,Amazon login at https://schultz-martinez.com/theory/thus/cup for whanna@herrera.com
28,james72@rodriguez.com,https://anderson-thompson.info/reach,Apple,benign,Apple login at https://anderson-thompson.info/reach for james72@rodriguez.com
29,mark72@gmail.com,https://huerta.com/color,Facebook,benign,Facebook login at https://huerta.com/color for mark72@gmail.com
30,richardspamela@ball.com,https://mosley.com/born,Microsoft,benign,Microsoft login at https://mosley.com/born for richardspamela@ball.com
31,ycox@haas-wallace.biz,https://martinez.com/know/sort,Amazon,benign,Amazon login at https://martinez.com/know/sort for ycox@haas-wallace.biz
32,james54@hayes.info,https://secure-williams.com/half,Amazon,phish,Amazon login at https://secure-williams.com/half for james54@hayes.info
33,travisgonzalez@yahoo.com,https://jackson.info/same/difference/worker,NAB,phish,NAB login at https://jackson.info/same/difference/worker for travisgonzalez@yahoo.com
34,cfowler@yahoo.com,https://secure-bennett-gaines.com/economic/dog,Microsoft,benign,Microsoft login at https://secure-bennett-gaines.com/economic/dog for cfowler@yahoo.com
35,scottevelyn@reyes.org,https://gregory.com/chair/simply,ANZ,benign,ANZ login at https://gregory.com/chair/simply for scottevelyn@reyes.org
36,kellyhernandez@gonzalez.biz,https://secure-richard.biz/how,Amazon,benign,Amazon login at https://secure-richard.biz/how for kellyhernandez@gonzalez.biz
37,kathrynlee@hotmail.com,https://hickman.org/voice/maybe,ANZ,benign,ANZ login at https://hickman.org/voice/maybe for kathrynlee@hotmail.com
38,christopherbrown@barber.com,https://secure-martin-rodriguez.biz/serious/second/health,Amazon,benign,Amazon login at https://secure-martin-rodriguez.biz/serious/second/health for christopherbrown@barber.com
39,jonathanthomas@hotmail.com,https://lambert.com/book/data,Apple,phish,Apple login at https://lambert.com/book/data for jonathanthomas@hotmail.com
40,mleach@smith.net,https://secure-grimes-swanson.com/company/fast/certain,Apple,benign,Apple login at https://secure-grimes-swanson.com/company/fast/certain for mleach@smith.net
41,obriendeanna@anderson.com,https://secure-webster.com/fill/sell,PayPal,benign,PayPal login at https://secure-webster.com/fill/sell for obriendeanna@anderson.com
42,james43@hotmail.com,https://green.com/hold,Facebook,benign,Facebook login at https://green.com/hold for james43@hotmail.com
43,stevefoster@parsons.net,https://secure-lopez.com/sense/today,ANZ,phish,ANZ login at https://secure-lopez.com/sense/today for stevefoster@parsons.net
44,michaelallison@gmail.com,https://bryant.com/draw/customer/very,ANZ,benign,ANZ login at https://bryant.com/draw/customer/very for michaelallison@gmail.com
45,morrisjason@roberts.info,https://campbell.com/single/stuff,NAB,benign,NAB login at https://campbell.com/single/stuff for morrisjason@roberts.info
46,clarktammy@gmail.com,https://roy-gonzalez.net/agency/remain,ANZ,phish,ANZ login at https://roy-gonzalez.net/agency/remain for clarktammy@gmail.com
47,cgarcia@hotmail.com,https://tanner.net/walk/economy,ANZ,phish,ANZ login at https://tanner.net/walk/economy for cgarcia@hotmail.com
48,snydertina@potter.com,https://sweeney.com/city/have,Amazon,benign,Amazon login at https://sweeney.com/city/have for snydertina@potter.com
49,jacobsonkeith@hoover.com,https://olson.com/season,Microsoft,phish,Microsoft login at https://olson.com/season for jacobsonkeith@hoover.com
50,debradouglas@johnson-nelson.net,https://johnson.org/full,NAB,phish,NAB login at https://johnson.org/full for debradouglas@johnson-nelson.net
51,ubrown@olson-mccann.com,https://davis.biz/though,NAB,benign,NAB login at https://davis.biz/though for ubrown@olson-mccann.com
52,kyle84@yahoo.com,https://secure-anderson.biz/might/television,NAB,benign,NAB login at https://secure-anderson.biz/might/television for kyle84@yahoo.com
53,henry13@gmail.com,https://secure-johnson-salazar.biz/wide/throw,Amazon,phish,Amazon login at https://secure-johnson-salazar.biz/wide/throw for henry13@gmail.com
54,williamgibson@hotmail.com,https://taylor-reed.com/source/must,PayPal,phish,PayPal login at https://taylor-reed.com/source/must for williamgibson@hotmail.com
55,bonnie95@bonilla.com,https://ritter.net/people/pressure,NAB,benign,NAB login at https://ritter.net/people/pressure for bonnie95@bonilla.com
56,martinezsamantha@nguyen-marshall.biz,https://baker-curtis.com/charge/agree/house,Apple,phish,Apple login at https://baker-curtis.com/charge/agree/house for martinezsamantha@nguyen-marshall.biz
57,wagnerkristi@baker-miles.org,https://secure-schneider.com/into,Amazon,benign,Amazon login at https://secure-schneider.com/into for wagnerkristi@baker-miles.org
58,jeffrey66@gomez-guzman.com,https://newton-lopez.com/design/reflect/level,NAB,phish,NAB login at https://newton-lopez.com/design/reflect/level for jeffrey66@gomez-guzman.com
59,jonathan22@martin.com,https://scott-davis.net/development/seat,ANZ,phish,ANZ login at https://scott-davis.net/development/seat for jonathan22@martin.com
60,kcollins@hotmail.com,https://hernandez.com/writer/mouth,Amazon,phish,Amazon login at https://hernandez.com/writer/mouth for kcollins@hotmail.com
61,scottjennings@fisher-martin.com,https://thompson-brown.net/fund/officer/everyone,Amazon,benign,Amazon login at https://thompson-brown.net/fund/officer/everyone for scottjennings@fisher-martin.com
62,christopher17@gmail.com,https://secure-townsend.com/order/travel/bad,NAB,phish,NAB login at https://secure-townsend.com/order/travel/bad for christopher17@gmail.com
63,powerstiffany@juarez.org,https://secure-cameron-gray.com/second/eat/information,Amazon,phish,Amazon login at https://secure-cameron-gray.com/second/eat/information for powerstiffany@juarez.org
64,alexandertyler@brown.com,https://howard.biz/theory/inside/determine,PayPal,benign,PayPal login at https://howard.biz/theory/inside/determine for alexandertyler@brown.com
65,mward@higgins-ayers.com,https://rodriguez.net/throughout/wait/condition,Microsoft,phish,Microsoft login at https://rodriguez.net/throughout/wait/condition for mward@higgins-ayers.com
66,valerie70@hernandez-scott.com,https://secure-kelly-weber.com/town,ANZ,phish,ANZ login at https://secure-kelly-weber.com/town for valerie70@hernandez-scott.com
67,vargasjulie@colon.com,https://martin.net/detail/each/brother,NAB,benign,NAB login at https://martin.net/detail/each/brother for vargasjulie@colon.com
68,josephmartinez@best-ballard.com,https://secure-morse.org/resource,Apple,benign,Apple login at https://secure-morse.org/resource for josephmartinez@best-ballard.com
69,alexandra48@baker.net,https://bailey.org/agency/last/Democrat,Amazon,phish,Amazon login at https://bailey.org/agency/last/Democrat for alexandra48@baker.net
70,teresa56@nolan.biz,https://owens.com/bill,Microsoft,phish,Microsoft login at https://owens.com/bill for teresa56@nolan.biz
71,kimlee@hotmail.com,https://hernandez.org/media/go,Facebook,benign,Facebook login at https://hernandez.org/media/go for kimlee@hotmail.com
72,tamara44@williams-carlson.info,https://reyes.com/government/current/imagine,Facebook,phish,Facebook login at https://reyes.com/government/current/imagine for tamara44@williams-carlson.info
73,alexanderterry@cook.com,https://sanchez.info/point,ANZ,benign,ANZ login at https://sanchez.info/point for alexanderterry@cook.com
