id,data_subject_id,email,password_hash,breach_source,industry,text
1,hillchristopher@yahoo.com,hillchristopher@yahoo.com,7a046bc0a88cb872cb36d63e45c8834ca92d3c38c578f59ee618583194f5566e,Key-Curry,finance,hillchristopher@yahoo.com | hill.com | leaked from Key-Curry
2,ascott@gmail.com,ascott@gmail.com,dbb133751cdd7742d98d8547a130c639cd29a615447e22ccc0236d9349d8737a,Glenn-Branch,healthcare,ascott@gmail.com | clark.net | leaked from Glenn-Branch
3,djordan@hotmail.com,djordan@hotmail.com,e3d21d721bb1cb51fef1f08ba094a05a40a4b0ed72d8778e4bc852d2d53554d6,Booth Ltd,gov,djordan@hotmail.com | gomez.com | leaked from Booth Ltd
4,youngandrea@hotmail.com,youngandrea@hotmail.com,a8ccbfa152cc35f3f49bca72c34acd564f5636f21a3379d1a851e14dc7960d36,Keller-Diaz,finance,youngandrea@hotmail.com | dickerson-evans.com | leaked from Keller-Diaz
5,eflynn@gmail.com,eflynn@gmail.com,e2db5a327b39d85840133fea0ad8c83266af07dd68bdfd97e09944d46ddd14e9,Marquez LLC,healthcare,eflynn@gmail.com | elliott.com | leaked from Marquez LLC
6,howardkimberly@hotmail.com,howardkimberly@hotmail.com,00f53089fd1bd61199d9f74082212ca3095e0fc690b2e63fc30ca535553ecd00,Mclaughlin-Palmer,retail,howardkimberly@hotmail.com | kennedy.com | leaked from Mclaughlin-Palmer
7,tamaralong@gmail.com,tamaralong@gmail.com,bcae176ad161dc8d7eeefe84e45ff5d0fbc631179ae9bd03ef106d5d96d8529b,Mata Group,healthcare,tamaralong@gmail.com | smith.com | leaked from Mata Group
8,fowlertracy@yahoo.com,fowlertracy@yahoo.com,c72a9135fc96cfbb5ca88b8419a657fb49a911ec23184589c2a0c04ea25db2ae,Oneill and Sons,gaming,fowlertracy@yahoo.com | crawford.com | leaked from Oneill and Sons
9,collinsmiguel@hotmail.com,collinsmiguel@hotmail.com,1551b6c67cb8791227431cc3e1c8b911b5345392a915017e4017a925a8618d90,Brown LLC,gov,collinsmiguel@hotmail.com | hanson.com | leaked from Brown LLC
10,susanweber@yahoo.com,susanweber@yahoo.com,12cbb575fef341f4422669e56b0e4823abd24ba843feb15ce2ef7ffdd7f7920f,Castillo-Burnett,healthcare,susanweber@yahoo.com | barnes.com | leaked from Castillo-Burnett
11,stanleyrebecca@gmail.com,stanleyrebecca@gmail.com,810fe6d7d1f035c06d3698ac7d1b479c22a1bac210121a3b6ce39fc488c22463,Fleming PLC,gov,stanleyrebecca@gmail.com | brennan.com | leaked from Fleming PLC
12,jenniferjensen@yahoo.com,jenniferjensen@yahoo.com,5391e473fec1769ffc6d3884f22d0e84376f6b6564c8c01679bd38e933e7b621,Smith-Joyce,retail,jenniferjensen@yahoo.com | ochoa.com | leaked from Smith-Joyce
13,michael80@hotmail.com,michael80@hotmail.com,57e9a9bfedf4fe548c0bf3012afe41928d2ea527d49ff5eb9d3a7c56c71ec4a7,Riddle-Nichols,finance,michael80@hotmail.com | reeves.com | leaked from Riddle-Nichols
14,alicia71@hotmail.com,alicia71@hotmail.com,ad71ce16d2ce83e55e078ee6510ce0708ab84d448d4ca4bf3e3a2a6a78057fa1,"Coleman, Travis and Smith",finance,"alicia71@hotmail.com | gardner-hall.com | leaked from Coleman, Travis and Smith"
15,christina21@hotmail.com,christina21@hotmail.com,8aa356f8e85e114db9a4783df151d758d5a3ecc478c801309a287491ef698a8a,"Brown, West and Rivera",finance,"christina21@hotmail.com | daniels-burke.com | leaked from Brown, West and Rivera"
16,tyler48@hotmail.com,tyler48@hotmail.com,e76faf0d952b9f18605cc001eb5da0ed7a97e08b71f5b0da879b16c0dac54043,Murray-Bennett,finance,tyler48@hotmail.com | diaz.com | leaked from Murray-Bennett
17,maxwellbarrett@gmail.com,maxwellbarrett@gmail.com,4fd77d9b99de2a373bbb82747dd09a97568e468a94edf5799c773cf97f4b572a,Ruiz LLC,gov,maxwellbarrett@gmail.com | ayala.com | leaked from Ruiz LLC
18,sandramartinez@yahoo.com,sandramartinez@yahoo.com,8f31220b7712081d95d9645ed7ed38df2cbfc2260e9e51ade9476df6542758f2,Mcdonald-Skinner,healthcare,sandramartinez@yahoo.com | pham.info | leaked from Mcdonald-Skinner
19,wkerr@gmail.com,wkerr@gmail.com,d6ffb5331024fd404239e2b0721b8fe21620093f8b0ad3476e303ecc3a96e513,Hall-Dominguez,gaming,wkerr@gmail.com | rodriguez-lindsey.net | leaked from Hall-Dominguez
20,leelauren@yahoo.com,leelauren@yahoo.com,b0dd01e50d24a20d1261c09764c51114a206bed9c0021b385a43e2ffaa6eb425,"Dougherty, Chandler and Bowen",gaming,"leelauren@yahoo.com | taylor.org | leaked from Dougherty, Chandler and Bowen"
21,tracey72@yahoo.com,tracey72@yahoo.com,e3c0f71a279f1a58f4980657239e79a50b6f6f67e624013533089681b8e0bc6a,Martin-Hall,gov,tracey72@yahoo.com | quinn.com | leaked from Martin-Hall
22,nmeyer@gmail.com,nmeyer@gmail.com,b91cd8054b9ff928e9a843ba7311752c738d8f657ad6adca7920ba633d84082e,Hall-Gonzalez,gaming,nmeyer@gmail.com | bradshaw.biz | leaked from Hall-Gonzalez
23,ochavez@gmail.com,ochavez@gmail.com,dc512adcfd6aa2532540d25776b277dc445e3b7975b3070f391d51273979d885,Green-Johnson,finance,ochavez@gmail.com | wilson.com | leaked from Green-Johnson
24,david55@gmail.com,david55@gmail.com,d37d6df1c919f174e7c1d93293089e8df648ef91a4b1e9290b949e844ee13f18,Wright-Stone,retail,david55@gmail.com | miranda.biz | leaked from Wright-Stone
25,mcollins@hotmail.com,mcollins@hotmail.com,7d06012b5f4d2e545f78c2a918955cba1a44b4dba91ff26bb5dd6ef48f4709ea,Welch-Jones,finance,mcollins@hotmail.com | rollins.com | leaked from Welch-Jones
26,steven68@hotmail.com,steven68@hotmail.com,db49b01b880842e972b66e93be041446a8eb9eb6684ab69d346108ee21e946c5,"Howe, Vasquez and Johnson",healthcare,"steven68@hotmail.com | johnson-fitzgerald.net | leaked from Howe, Vasquez and Johnson"
27,ipineda@gmail.com,ipineda@gmail.com,90564bdfde7d253cceddbe9a6085bdefe775ec5385e781daf14016f11c28985a,"Hall, Campbell and Smith",gaming,"ipineda@gmail.com | huang.com | leaked from Hall, Campbell and Smith"
28,jesse15@hotmail.com,jesse15@hotmail.com,2b1362dac918e16ad195e856b9d2f8d87c85707a54ee41695fc014e0f5146c5b,Jones-Montgomery,gaming,jesse15@hotmail.com | jones-ramirez.com | leaked from Jones-Montgomery
29,johnmartinez@yahoo.com,johnmartinez@yahoo.com,13a54343d5eac6fe8cbb1ec5bddd7f7048de9d0118a5af4c14ec4c5646b67110,"Ford, Mitchell and Blake",retail,"johnmartinez@yahoo.com | marquez.com | leaked from Ford, Mitchell and Blake"
30,esmith@gmail.com,esmith@gmail.com,1c6f06a204b3b1c1268344ad8883946a227737c594f18714920e2c0402e66e3a,Hurst Group,gov,esmith@gmail.com | hogan.info | leaked from Hurst Group
31,destinyrobinson@gmail.com,destinyrobinson@gmail.com,7867aa0d233890c167456e7136a64878805890a25c6648c79f7a82f58d6548b4,"Andrews, Cook and Edwards",gaming,"destinyrobinson@gmail.com | kelley.biz | leaked from Andrews, Cook and Edwards"
