id,data_subject_id,url,brand,label,text
1,rjohnson@obrien.info,https://knox.com/draw/list/hot,Amazon,phish,Amazon login at https://knox.com/draw/list/hot for rjohnson@obrien.info
2,brittany56@hall-cantrell.com,https://murray.info/any,PayPal,phish,PayPal login at https://murray.info/any for brittany56@hall-cantrell.com
3,kevinrichardson@gmail.com,https://fernandez-garza.com/traditional,Amazon,benign,Amazon login at https://fernandez-garza.com/traditional for kevinrichardson@gmail.com
4,laurenstevens@conley.com,https://webb-arnold.com/make/oil/available,Microsoft,benign,Microsoft login at https://webb-arnold.com/make/oil/available for laurenstevens@conley.com
5,novakkristin@stanley.com,https://james.com/road,PayPal,phish,PayPal login at https://james.com/road for novakkristin@stanley.com
6,allisonmathis@santiago.com,https://conway.com/truth,Amazon,phish,Amazon login at https://conway.com/truth for allisonmathis@santiago.com
7,xprice@gmail.com,https://shepherd.biz/beat/organization,NAB,benign,NAB login at https://shepherd.biz/beat/organization for xprice@gmail.com
8,wmeadows@wright-ramirez.net,https://porter.net/deep/especially,Microsoft,phish,Microsoft login at https://porter.net/deep/especially for wmeadows@wright-ramirez.net
9,susanrogers@yahoo.com,https://hughes.com/cold,Microsoft,benign,Microsoft login at https://hughes.com/cold for susanrogers@yahoo.com
10,patrickperkins@hotmail.com,https://secure-boone-tyler.com/court/open/receive,Microsoft,phish,Microsoft login at https://secure-boone-tyler.com/court/open/receive for patrickperkins@hotmail.com
11,melissamontgomery@yahoo.com,https://peters-evans.com/most/agreement,PayPal,benign,PayPal login at https://peters-evans.com/most/agreement for melissamontgomery@yahoo.com
12,icarlson@odonnell-dean.info,https://secure-owens.com/always/performance/page,Apple,benign,Apple login at https://secure-owens.com/always/performance/page for icarlson@odonnell-dean.info
13,gregory07@lawson-rasmussen.com,https://johnson.net/wide/worry/scene,Microsoft,phish,Microsoft login at https://johnson.net/wide/worry/scene for gregory07@lawson-rasmussen.com
14,murrayandrea@hotmail.com,https://secure-andrews.com/put/hair/son,NAB,phish,NAB login at https://secure-andrews.com/put/hair/son for murrayandrea@hotmail.com
15,ortizrebecca@warren-freeman.biz,https://hobbs.org/technology,PayPal,phish,PayPal login at https://hobbs.org/technology for ortizrebecca@warren-freeman.biz
16,christopher04@gmail.com,https://secure-harding.org/deep,ANZ,phish,ANZ login at https://secure-harding.org/deep for christopher04@gmail.com
17,barrygonzalez@perez.com,https://secure-morris.com/chance/century,Facebook,benign,Facebook login at https://secure-morris.com/chance/century for barrygonzalez@perez.com
18,lwilliams@hotmail.com,https://secure-gonzalez.com/item/between,Facebook,benign,Facebook login at https://secure-gonzalez.com/item/between for lwilliams@hotmail.com
19,reyesdavid@yahoo.com,https://secure-brown.com/probably,Amazon,phish,Amazon login at https://secure-brown.com/probably for reyesdavid@yahoo.com
20,michael60@hotmail.com,https://brennan-stone.org/enter/picture/soon,Amazon,phish,Amazon login at https://brennan-stone.org/enter/picture/soon for michael60@hotmail.com
21,shawsusan@johnson-mcmahon.org,https://cochran-olson.com/card/first,Facebook,phish,Facebook login at https://cochran-olson.com/card/first for shawsusan@johnson-mcmahon.org
22,saradiaz@copeland.com,https://mclean.com/cold/friend/present,Amazon,phish,Amazon login at https://mclean.com/cold/friend/present for saradiaz@copeland.com
23,leachgeorge@carter-mitchell.com,https://ross.com/country/news,NAB,phish,NAB login at https://ross.com/country/news for leachgeorge@carter-mitchell.com
24,vmartinez@hotmail.com,https://secure-clark.com/project,Microsoft,phish,Microsoft login at https://secure-clark.com/project for vmartinez@hotmail.com
25,jenniferhopkins@johnston.info,https://chavez-brown.org/discover,ANZ,phish,ANZ login at https://chavez-brown.org/discover for jenniferhopkins@johnston.info
26,sarahmckinney@white-henry.com,https://weaver.com/director,ANZ,benign,ANZ login at https://weaver.com/director for sarahmckinney@white-henry.com
27,gonzaleswilliam@hotmail.com,https://andrade.com/happy/worry/bad,Facebook,phish,Facebook login at https://andrade.com/happy/worry/bad for gonzaleswilliam@hotmail.com
28,michael50@gmail.com,https://secure-anderson-ballard.com/majority,PayPal,benign,PayPal login at https://secure-anderson-ballard.com/majority for michael50@gmail.com
29,xmanning@yahoo.com,https://johnson-rogers.biz/guy/nice/response,Facebook,benign,Facebook login at https://johnson-rogers.biz/guy/nice/response for xmanning@yahoo.com
30,vherman@gmail.com,https://davis-gilbert.com/it/often/land,PayPal,phish,PayPal login at https://davis-gilbert.com/it/often/land for vherman@gmail.com
31,gutierrezthomas@white.org,https://secure-marquez.org/film,Apple,benign,Apple login at https://secure-marquez.org/film for gutierrezthomas@white.org
32,sthomas@hotmail.com,https://clark-madden.com/consider,ANZ,phish,ANZ login at https://clark-madden.com/consider for sthomas@hotmail.com
33,billy10@ramirez-brock.com,https://jacobs.com/front/establish,Microsoft,phish,Microsoft login at https://jacobs.com/front/establish for billy10@ramirez-brock.com
34,srose@hart.com,https://evans.com/people,Microsoft,phish,Microsoft login at https://evans.com/people for srose@hart.com
35,jeffreyjackson@gmail.com,https://combs-williams.com/major/campaign,Microsoft,phish,Microsoft login at https://combs-williams.com/major/campaign for jeffreyjackson@gmail.com
36,robinsondebra@hotmail.com,https://key-goodwin.net/accept,Amazon,benign,Amazon login at https://key-goodwin.net/accept for robinsondebra@hotmail.com
37,sherryfrazier@bailey-taylor.biz,https://bauer-king.com/any/recent/far,Microsoft,benign,Microsoft login at https://bauer-king.com/any/recent/far for sherryfrazier@bailey-taylor.biz
38,jessica58@yahoo.com,https://secure-simpson.org/stage/hand/across,ANZ,benign,ANZ login at https://secure-simpson.org/stage/hand/across for jessica58@yahoo.com
39,ahenson@flynn.com,https://raymond.biz/activity/future,Apple,phish,Apple login at https://raymond.biz/activity/future for ahenson@flynn.com
40,brookschristy@yahoo.com,https://secure-goodwin.com/doctor/fear,NAB,phish,NAB login at https://secure-goodwin.com/doctor/fear for brookschristy@yahoo.com
41,holly95@mccormick-newton.net,https://smith.biz/traditional/full/friend,ANZ,phish,ANZ login at https://smith.biz/traditional/full/friend for holly95@mccormick-newton.net
42,phillipsrhonda@gmail.com,https://carroll.com/civil,Apple,benign,Apple login at https://carroll.com/civil for phillipsrhonda@gmail.com
43,rmclaughlin@hotmail.com,https://moore.net/enter/middle,Apple,phish,Apple login at https://moore.net/enter/middle for rmclaughlin@hotmail.com
44,barbara53@valencia-hubbard.org,https://perry.com/trial/whom,Apple,benign,Apple login at https://perry.com/trial/whom for barbara53@valencia-hubbard.org
45,amanda69@hotmail.com,https://stokes-lynch.com/situation,PayPal,phish,PayPal login at https://stokes-lynch.com/situation for amanda69@hotmail.com
46,wesley88@yahoo.com,https://secure-dunn.org/energy/environment,Microsoft,benign,Microsoft login at https://secure-dunn.org/energy/environment for wesley88@yahoo.com
47,maryashley@gmail.com,https://ferguson.biz/imagine,Microsoft,phish,Microsoft login at https://ferguson.biz/imagine for maryashley@gmail.com
48,rallen@yahoo.com,https://sandoval.org/add/fine,PayPal,phish,PayPal login at https://sandoval.org/add/fine for rallen@yahoo.com
49,gallegostiffany@hotmail.com,https://webb.org/service/full/sort,Microsoft,benign,Microsoft login at https://webb.org/service/full/sort for gallegostiffany@hotmail.com
50,campbellderrick@gray-davis.info,https://webb.com/north/wind/guy,Apple,phish,Apple login at https://webb.com/north/wind/guy for campbellderrick@gray-davis.info
51,danielleweiss@gmail.com,https://scott.net/add,Facebook,benign,Facebook login at https://scott.net/add for danielleweiss@gmail.com
52,delgadobrenda@hotmail.com,https://secure-jordan.com/artist/shoulder,PayPal,benign,PayPal login at https://secure-jordan.com/artist/shoulder for delgadobrenda@hotmail.com
53,vincent80@yahoo.com,https://bell.com/kitchen/take,ANZ,benign,ANZ login at https://bell.com/kitchen/take for vincent80@yahoo.com
54,thomasjensen@hotmail.com,https://ingram.com/argue/return/hundred,ANZ,benign,ANZ login at https://ingram.com/argue/return/hundred for thomasjensen@hotmail.com
55,fwade@thompson.com,https://secure-harris.org/style/current,PayPal,benign,PayPal login at https://secure-harris.org/style/current for fwade@thompson.com
56,tracey37@gmail.com,https://secure-sloan-jensen.com/chance/lay/decade,PayPal,benign,PayPal login at https://secure-sloan-jensen.com/chance/lay/decade for tracey37@gmail.com
57,brodriguez@yahoo.com,https://secure-elliott.com/lead/produce/behavior,Microsoft,benign,Microsoft login at https://secure-elliott.com/lead/produce/behavior for brodriguez@yahoo.com
58,wendysandoval@reyes-brown.org,https://secure-wilson.biz/people/line,Facebook,phish,Facebook login at https://secure-wilson.biz/people/line for wendysandoval@reyes-brown.org
59,christophertate@yahoo.com,https://secure-giles.info/threat,Microsoft,phish,Microsoft login at https://secure-giles.info/threat for christophertate@yahoo.com
60,elizabethkelly@conley.com,https://secure-dawson.net/center/likely/develop,Apple,phish,Apple login at https://secure-dawson.net/center/likely/develop for elizabethkelly@conley.com
61,weeksrobert@hill.org,https://salinas.org/particular/all,Amazon,phish,Amazon login at https://salinas.org/particular/all for weeksrobert@hill.org
62,johnsonronald@collins-david.com,https://stafford-durham.info/than,ANZ,phish,ANZ login at https://stafford-durham.info/than for johnsonronald@collins-david.com
63,davidwhite@herrera-lane.biz,https://hardy-baker.info/gun/public,PayPal,phish,PayPal login at https://hardy-baker.info/gun/public for davidwhite@herrera-lane.biz
64,kevinhenry@hoover.com,https://mcdonald-castillo.com/stand/report/beyond,NAB,phish,NAB login at https://mcdonald-castillo.com/stand/report/beyond for kevinhenry@hoover.com
65,jameslawrence@marsh.com,https://weber-harris.com/appear/tonight,ANZ,benign,ANZ login at https://weber-harris.com/appear/tonight for jameslawrence@marsh.com
66,uhill@woods.com,https://mason.org/event,PayPal,benign,PayPal login at https://mason.org/event for uhill@woods.com
67,jasminemiller@savage.com,https://fischer-pena.info/although/business,NAB,benign,NAB login at https://fischer-pena.info/although/business for jasminemiller@savage.com
68,tammysmith@mckinney.com,https://watts.org/personal,Microsoft,benign,Microsoft login at https://watts.org/personal for tammysmith@mckinney.com
69,courtneyjones@yahoo.com,https://jacobson-richardson.com/tonight,ANZ,phish,ANZ login at https://jacobson-richardson.com/tonight for courtneyjones@yahoo.com
70,murillokrista@kim.info,https://secure-singleton.net/appear/effort,Apple,benign,Apple login at https://secure-singleton.net/appear/effort for murillokrista@kim.info
71,oarnold@hotmail.com,https://hamilton.info/baby,NAB,benign,NAB login at https://hamilton.info/baby for oarnold@hotmail.com
72,stevenhunt@gmail.com,https://secure-floyd-walters.com/anyone/pay,Amazon,benign,Amazon login at https://secure-floyd-walters.com/anyone/pay for stevenhunt@gmail.com
73,kimberly56@jackson.org,https://miller.biz/their,Microsoft,benign,Microsoft login at https://miller.biz/their for kimberly56@jackson.org
74,walkerpamela@joseph-fritz.com,https://allen.biz/military/these,ANZ,benign,ANZ login at https://allen.biz/military/these for walkerpamela@joseph-fritz.com
75,grose@gmail.com,https://miller-simmons.com/half,Facebook,phish,Facebook login at https://miller-simmons.com/half for grose@gmail.com
76,andrewpeters@yahoo.com,https://secure-baker.org/edge/now,Apple,phish,Apple login at https://secure-baker.org/edge/now for andrewpeters@yahoo.com
77,ksheppard@jenkins.com,https://secure-grant.com/there/research,Microsoft,phish,Microsoft login at https://secure-grant.com/there/research for ksheppard@jenkins.com
78,smithwilliam@hotmail.com,https://bass-shelton.info/town/late,NAB,phish,NAB login at https://bass-shelton.info/town/late for smithwilliam@hotmail.com
79,qmiller@williams-ayala.com,https://secure-davis.com/capital,ANZ,benign,ANZ login at https://secure-davis.com/capital for qmiller@williams-ayala.com
80,gabrielhanna@evans-buck.com,https://davis-townsend.biz/girl/popular/city,NAB,benign,NAB login at https://davis-townsend.biz/girl/popular/city for gabrielhanna@evans-buck.com
81,hickskelly@padilla-hart.com,https://valdez.com/course,Amazon,benign,Amazon login at https://valdez.com/course for hickskelly@padilla-hart.com
82,michelle26@moore-sparks.org,https://secure-strickland.info/past/future,Microsoft,benign,Microsoft login at https://secure-strickland.info/past/future for michelle26@moore-sparks.org
83,colemantina@gmail.com,https://martinez.com/someone/sister,Apple,phish,Apple login at https://martinez.com/someone/sister for colemantina@gmail.com
84,gutierrezandrea@richardson-fuller.org,https://secure-richardson.org/mouth,Facebook,phish,Facebook login at https://secure-richardson.org/mouth for gutierrezandrea@richardson-fuller.org
85,catherine97@bates.info,https://green.org/plant,NAB,benign,NAB login at https://green.org/plant for catherine97@bates.info
86,katie21@nash-hicks.com,https://brewer.biz/camera/yes/full,NAB,benign,NAB login at https://brewer.biz/camera/yes/full for katie21@nash-hicks.com
87,sharon06@yahoo.com,https://secure-higgins.org/down,PayPal,benign,PayPal login at https://secure-higgins.org/down for sharon06@yahoo.com
88,fbecker@gmail.com,https://peterson.biz/those/chance/food,NAB,phish,NAB login at https://peterson.biz/those/chance/food for fbecker@gmail.com
89,kylehawkins@gmail.com,https://johnson.info/support/push/arm,PayPal,phish,PayPal login at https://johnson.info/support/push/arm for kylehawkins@gmail.com
90,tcollier@hotmail.com,https://secure-lozano.biz/agreement/affect,PayPal,phish,PayPal login at https://secure-lozano.biz/agreement/affect for tcollier@hotmail.com
91,heatherhill@cruz-spencer.net,https://secure-henderson-scott.biz/learn/amount/just,Microsoft,benign,Microsoft login at https://secure-henderson-scott.biz/learn/amount/just for heatherhill@cruz-spencer.net
92,derrickhowell@hotmail.com,https://secure-taylor-phillips.com/father/start/why,Microsoft,benign,Microsoft login at https://secure-taylor-phillips.com/father/start/why for derrickhowell@hotmail.com
93,dgutierrez@yahoo.com,https://secure-reeves-higgins.com/through/instead,ANZ,benign,ANZ login at https://secure-reeves-higgins.com/through/instead for dgutierrez@yahoo.com
