id,data_subject_id,url,brand,label,text
1,curtiscastaneda@hotmail.com,https://rivera-moore.com/national/stuff/detail,PayPal,phish,PayPal login at https://rivera-moore.com/national/stuff/detail for curtiscastaneda@hotmail.com
2,luis89@yahoo.com,https://secure-carter.com/administration,Apple,benign,Apple login at https://secure-carter.com/administration for luis89@yahoo.com
3,ruizann@gmail.com,https://silva.org/newspaper,ANZ,benign,ANZ login at https://silva.org/newspaper for ruizann@gmail.com
4,swansonjody@yahoo.com,https://secure-woodard.org/business/now/couple,Microsoft,phish,Microsoft login at https://secure-woodard.org/business/now/couple for swansonjody@yahoo.com
5,aguilarkathryn@robinson.info,https://watson.com/try,PayPal,phish,PayPal login at https://watson.com/try for aguilarkathryn@robinson.info
6,robertruiz@castillo-koch.com,https://secure-lewis.info/set/hard,NAB,phish,NAB login at https://secure-lewis.info/set/hard for robertruiz@castillo-koch.com
7,estesthomas@hotmail.com,https://kelley.biz/money,Microsoft,benign,Microsoft login at https://kelley.biz/money for estesthomas@hotmail.com
8,alvaradoeddie@zhang.com,https://secure-kelley-perez.biz/decide/perform,Facebook,phish,Facebook login at https://secure-kelley-perez.biz/decide/perform for alvaradoeddie@zhang.com
9,nicholscarla@yahoo.com,https://howard-barry.com/avoid/available,Facebook,phish,Facebook login at https://howard-barry.com/avoid/available for nicholscarla@yahoo.com
10,marywarner@jackson.info,https://martin.com/community/until/set,Facebook,benign,Facebook login at https://martin.com/community/until/set for marywarner@jackson.info
11,pmendoza@campbell.biz,https://taylor-hill.org/western,PayPal,benign,PayPal login at https://taylor-hill.org/western for pmendoza@campbell.biz
12,vincent41@gmail.com,https://garcia-morton.com/pick/value/understand,PayPal,benign,PayPal login at https://garcia-morton.com/pick/value/understand for vincent41@gmail.com
13,laurenthompson@hamilton.com,https://hines-wallace.com/together,ANZ,benign,ANZ login at https://hines-wallace.com/together for laurenthompson@hamilton.com
14,alexanderheather@doyle-norris.biz,https://diaz.com/same/body/oil,Facebook,phish,Facebook login at https://diaz.com/same/body/oil for alexanderheather@doyle-norris.biz
15,raymond04@gmail.com,https://zimmerman.biz/onto/race/strategy,Apple,benign,Apple login at https://zimmerman.biz/onto/race/strategy for raymond04@gmail.com
16,vgarcia@brown.com,https://secure-jones.com/party/magazine/total,NAB,phish,NAB login at https://secure-jones.com/party/magazine/total for vgarcia@brown.com
17,morgansmith@yahoo.com,https://lambert-merritt.net/perform,Facebook,phish,Facebook login at https://lambert-merritt.net/perform for morgansmith@yahoo.com
18,pmorris@smith.com,https://secure-marquez.net/arm,ANZ,benign,ANZ login at https://secure-marquez.net/arm for pmorris@smith.com
19,ehopkins@keller.com,https://bennett.com/add,PayPal,phish,PayPal login at https://bennett.com/add for ehopkins@keller.com
20,lcarter@hotmail.com,https://silva.com/cup/watch,PayPal,phish,PayPal login at https://silva.com/cup/watch for lcarter@hotmail.com
21,steven27@miller.info,https://weiss-haynes.info/personal/with,Facebook,phish,Facebook login at https://weiss-haynes.info/personal/with for steven27@miller.info
22,jenniferjones@hotmail.com,https://garcia-elliott.com/else/drive/certainly,Microsoft,phish,Microsoft login at https://garcia-elliott.com/else/drive/certainly for jenniferjones@hotmail.com
23,jasonwilliams@yahoo.com,https://ray-allen.info/write/eye/rest,ANZ,benign,ANZ login at https://ray-allen.info/write/eye/rest for jasonwilliams@yahoo.com
24,yhenry@franco-evans.net,https://secure-flores-evans.org/person/general/assume,Microsoft,phish,Microsoft login at https://secure-flores-evans.org/person/general/assume for yhenry@franco-evans.net
25,adriananthony@marshall-wong.net,https://drake.com/week/this/should,Microsoft,benign,Microsoft login at https://drake.com/week/this/should for adriananthony@marshall-wong.net
26,watkinstraci@cooper.info,https://palmer.biz/market/important,ANZ,benign,ANZ login at https://palmer.biz/market/important for watkinstraci@cooper.info
27,kpope@hotmail.com,https://jones.com/whole/cell,NAB,phish,NAB login at https://jones.com/whole/cell for kpope@hotmail.com
28,tiffanysanchez@hawkins-forbes.com,https://parrish.com/themselves,Microsoft,phish,Microsoft login at https://parrish.com/themselves for tiffanysanchez@hawkins-forbes.com
29,sarapaul@gonzales-booker.biz,https://reed.com/hard/who/both,Microsoft,benign,Microsoft login at https://reed.com/hard/who/both for sarapaul@gonzales-booker.biz
30,patricia81@yahoo.com,https://hunter.com/ability,NAB,phish,NAB login at https://hunter.com/ability for patricia81@yahoo.com
31,ldavis@chang.org,https://keller.com/effect,Apple,benign,Apple login at https://keller.com/effect for ldavis@chang.org
32,whowell@hotmail.com,https://lewis.biz/require/anyone,Facebook,benign,Facebook login at https://lewis.biz/require/anyone for whowell@hotmail.com
33,mcdaniellisa@dominguez.com,https://pacheco-steele.net/scientist/common,Microsoft,phish,Microsoft login at https://pacheco-steele.net/scientist/common for mcdaniellisa@dominguez.com
34,danakelly@gmail.com,https://petersen.com/address,Facebook,phish,Facebook login at https://petersen.com/address for danakelly@gmail.com
35,danielle60@herman.com,https://wright.com/condition,PayPal,benign,PayPal login at https://wright.com/condition for danielle60@herman.com
36,martinjennifer@cooper.com,https://secure-moses-williams.info/candidate,Amazon,phish,Amazon login at https://secure-moses-williams.info/candidate for martinjennifer@cooper.com
37,warnermaurice@gmail.com,https://secure-powers-harris.info/service/city/various,PayPal,benign,PayPal login at https://secure-powers-harris.info/service/city/various for warnermaurice@gmail.com
38,ewalker@cross.info,https://secure-snyder-graves.org/energy,NAB,benign,NAB login at https://secure-snyder-graves.org/energy for ewalker@cross.info
39,brenda30@johnson-baker.info,https://smith.com/bad/heart,PayPal,phish,PayPal login at https://smith.com/bad/heart for brenda30@johnson-baker.info
40,qcampos@gmail.com,https://thomas-castro.com/professor/piece,NAB,benign,NAB login at https://thomas-castro.com/professor/piece for qcampos@gmail.com
41,robert33@peterson.biz,https://phillips.com/happy/glass/democratic,ANZ,phish,ANZ login at https://phillips.com/happy/glass/democratic for robert33@peterson.biz
42,justinmontoya@hotmail.com,https://lewis.com/back/discuss/reality,PayPal,phish,PayPal login at https://lewis.com/back/discuss/reality for justinmontoya@hotmail.com
43,adam89@larson.com,https://holmes.net/occur/success,Amazon,phish,Amazon login at https://holmes.net/occur/success for adam89@larson.com
44,johnsmith@hotmail.com,https://stevens-mueller.net/growth/what,Amazon,benign,Amazon login at https://stevens-mueller.net/growth/what for johnsmith@hotmail.com
45,qbell@yahoo.com,https://schmitt-fleming.biz/him/expert/thousand,PayPal,phish,PayPal login at https://schmitt-fleming.biz/him/expert/thousand for qbell@yahoo.com
46,joseph10@austin-bishop.biz,https://wilson.com/anyone/mouth,ANZ,phish,ANZ login at https://wilson.com/anyone/mouth for joseph10@austin-bishop.biz
47,briley@taylor-hansen.com,https://cruz-reed.com/stay,NAB,benign,NAB login at https://cruz-reed.com/stay for briley@taylor-hansen.com
48,murraylaura@hartman-lamb.com,https://secure-scott.com/grow/nature,Apple,phish,Apple login at https://secure-scott.com/grow/nature for murraylaura@hartman-lamb.com
49,yhogan@gmail.com,https://anderson.com/through,NAB,phish,NAB login at https://anderson.com/through for yhogan@gmail.com
50,kharmon@pham-green.com,https://maxwell-santana.com/see/thought/sea,ANZ,benign,ANZ login at https://maxwell-santana.com/see/thought/sea for kharmon@pham-green.com
51,gomezjulie@yahoo.com,https://walters.org/of/not,ANZ,benign,ANZ login at https://walters.org/of/not for gomezjulie@yahoo.com
52,cbuckley@hotmail.com,https://little-henderson.com/accept/hold,Microsoft,benign,Microsoft login at https://little-henderson.com/accept/hold for cbuckley@hotmail.com
53,andersenrichard@hotmail.com,https://rosales.net/record/city,Amazon,benign,Amazon login at https://rosales.net/record/city for andersenrichard@hotmail.com
54,micheleedwards@erickson-griffin.com,https://nguyen.info/bit/parent/true,Facebook,phish,Facebook login at https://nguyen.info/bit/parent/true for micheleedwards@erickson-griffin.com
55,jennifer62@baker-rice.com,https://miller-cruz.net/subject,Amazon,benign,Amazon login at https://miller-cruz.net/subject for jennifer62@baker-rice.com
56,cynthia89@yahoo.com,https://dillon.org/project/mother,NAB,phish,NAB login at https://dillon.org/project/mother for cynthia89@yahoo.com
57,vmcdonald@yahoo.com,https://mcmahon-bailey.net/enter/always/green,ANZ,benign,ANZ login at https://mcmahon-bailey.net/enter/always/green for vmcdonald@yahoo.com
58,kelly67@williams-rodriguez.net,https://hines.com/mention,Microsoft,phish,Microsoft login at https://hines.com/mention for kelly67@williams-rodriguez.net
59,mariajohnson@blake-pollard.info,https://munoz.com/shake/traditional/more,NAB,benign,NAB login at https://munoz.com/shake/traditional/more for mariajohnson@blake-pollard.info
60,allison43@west.com,https://hayes.com/tonight/cost/carry,NAB,benign,NAB login at https://hayes.com/tonight/cost/carry for allison43@west.com
61,sandragilbert@mcneil-vincent.com,https://secure-diaz.com/claim/who/fact,Facebook,phish,Facebook login at https://secure-diaz.com/claim/who/fact for sandragilbert@mcneil-vincent.com
62,thomas33@ray.com,https://fischer.com/myself,NAB,phish,NAB login at https://fischer.com/myself for thomas33@ray.com
63,thomas12@yahoo.com,https://zuniga.com/front/social,PayPal,phish,PayPal login at https://zuniga.com/front/social for thomas12@yahoo.com
