id,data_subject_id,url,brand,label,text
1,mroberts@campbell.com,https://secure-richardson.com/large/west/might,Amazon,benign,Amazon login at https://secure-richardson.com/large/west/might for mroberts@campbell.com
2,thall@gmail.com,https://secure-jacobson.org/none/tax,NAB,phish,NAB login at https://secure-jacobson.org/none/tax for thall@gmail.com
3,pattersonroy@buchanan-williams.com,https://pena.info/box/improve/him,Amazon,benign,Amazon login at https://pena.info/box/improve/him for pattersonroy@buchanan-williams.com
4,stephanie34@yahoo.com,https://burke.org/partner,PayPal,phish,PayPal login at https://burke.org/partner for stephanie34@yahoo.com
5,ayang@yahoo.com,https://castillo.com/give/best,Facebook,phish,Facebook login at https://castillo.com/give/best for ayang@yahoo.com
6,connieirwin@smith.com,https://terry.org/wear,Facebook,benign,Facebook login at https://terry.org/wear for connieirwin@smith.com
7,jessefisher@kelly.com,https://jones-terrell.com/support/herself/recognize,ANZ,benign,ANZ login at https://jones-terrell.com/support/herself/recognize for jessefisher@kelly.com
8,snydereric@yahoo.com,https://secure-griffith.com/during/about,Apple,phish,Apple login at https://secure-griffith.com/during/about for snydereric@yahoo.com
9,charles32@king.biz,https://christian-lambert.com/leader/since/city,ANZ,phish,ANZ login at https://christian-lambert.com/leader/since/city for charles32@king.biz
10,cpetty@callahan.com,https://secure-mccall-bell.com/ago/condition,NAB,benign,NAB login at https://secure-mccall-bell.com/ago/condition for cpetty@callahan.com
11,serranobrian@hotmail.com,https://johnson.info/since,Apple,phish,Apple login at https://johnson.info/since for serranobrian@hotmail.com
12,christopher36@yahoo.com,https://jimenez-willis.com/throw/toward/detail,Facebook,benign,Facebook login at https://jimenez-willis.com/throw/toward/detail for christopher36@yahoo.com
13,christopherbrady@gmail.com,https://chavez.com/Mr/its/conference,NAB,benign,NAB login at https://chavez.com/Mr/its/conference for christopherbrady@gmail.com
14,vsimon@cortez-ray.com,https://hernandez-hall.info/off/laugh/recently,PayPal,phish,PayPal login at https://hernandez-hall.info/off/laugh/recently for vsimon@cortez-ray.com
15,qjones@huang.com,https://martin.com/me/radio,Amazon,phish,Amazon login at https://martin.com/me/radio for qjones@huang.com
16,michael34@harris.biz,https://kelly-marshall.com/light,PayPal,phish,PayPal login at https://kelly-marshall.com/light for michael34@harris.biz
17,molinatammy@yahoo.com,https://berry-arnold.com/century/nation,PayPal,benign,PayPal login at https://berry-arnold.com/century/nation for molinatammy@yahoo.com
18,laurenhood@cox-brown.org,https://mccarty.info/cultural,Facebook,benign,Facebook login at https://mccarty.info/cultural for laurenhood@cox-brown.org
19,donna92@hotmail.com,https://morton.biz/live/success/cost,Facebook,benign,Facebook login at https://morton.biz/live/success/cost for donna92@hotmail.com
20,lauramalone@gmail.com,https://harris.com/never/news,NAB,phish,NAB login at https://harris.com/never/news for lauramalone@gmail.com
21,bwhite@morales.com,https://yang.com/give,NAB,phish,NAB login at https://yang.com/give for bwhite@morales.com
22,ryan78@yahoo.com,https://secure-graves.com/south,Facebook,phish,Facebook login at https://secure-graves.com/south for ryan78@yahoo.com
23,bucknicholas@davis.com,https://secure-wallace.com/question/side/describe,Facebook,phish,Facebook login at https://secure-wallace.com/question/side/describe for bucknicholas@davis.com
24,donnalopez@hart.com,https://manning.info/this/smile,PayPal,phish,PayPal login at https://manning.info/this/smile for donnalopez@hart.com
25,brownpatricia@carr-alvarez.net,https://secure-palmer.com/reality/know,NAB,phish,NAB login at https://secure-palmer.com/reality/know for brownpatricia@carr-alvarez.net
26,itran@yahoo.com,https://norton.net/card/some,NAB,phish,NAB login at https://norton.net/card/some for itran@yahoo.com
27,kmorrison@rice.net,https://ruiz.com/environmental/present/event,Apple,benign,Apple login at https://ruiz.com/environmental/present/event for kmorrison@rice.net
28,lanedanny@vazquez-lewis.com,https://mckinney.org/theory/base,PayPal,phish,PayPal login at https://mckinney.org/theory/base for lanedanny@vazquez-lewis.com
29,alexandra62@yahoo.com,https://riggs.org/yard/dark,ANZ,phish,ANZ login at https://riggs.org/yard/dark for alexandra62@yahoo.com
30,jamesmartin@robinson.com,https://castro.com/another/set,NAB,benign,NAB login at https://castro.com/another/set for jamesmartin@robinson.com
31,curtisjohnson@cummings.info,https://bowen.org/now/final/probably,ANZ,benign,ANZ login at https://bowen.org/now/final/probably for curtisjohnson@cummings.info
32,campbellcassidy@hotmail.com,https://foster.com/let/direction/someone,PayPal,phish,PayPal login at https://foster.com/let/direction/someone for campbellcassidy@hotmail.com
33,woodroy@mclean.com,https://bell-hernandez.com/stock/could,Microsoft,benign,Microsoft login at https://bell-hernandez.com/stock/could for woodroy@mclean.com
34,tyler99@gmail.com,https://downs.com/each,Facebook,benign,Facebook login at https://downs.com/each for tyler99@gmail.com
35,ijohns@yahoo.com,https://reed.com/per/different,Facebook,benign,Facebook login at https://reed.com/per/different for ijohns@yahoo.com
36,rachel49@meyer-sanchez.com,https://secure-cannon.com/story,Facebook,benign,Facebook login at https://secure-cannon.com/story for rachel49@meyer-sanchez.com
37,rodriguezaustin@hotmail.com,https://secure-terry.com/check/foreign/radio,Apple,phish,Apple login at https://secure-terry.com/check/foreign/radio for rodriguezaustin@hotmail.com
38,grahammegan@tran.com,https://mckenzie.com/war/according/word,PayPal,phish,PayPal login at https://mckenzie.com/war/according/word for grahammegan@tran.com
39,thomas64@fisher.info,https://secure-adams-gray.biz/body,Apple,phish,Apple login at https://secure-adams-gray.biz/body for thomas64@fisher.info
40,xdavis@gmail.com,https://secure-adkins.net/cost/little/even,PayPal,phish,PayPal login at https://secure-adkins.net/cost/little/even for xdavis@gmail.com
41,daniel00@yahoo.com,https://secure-bailey-rose.com/drive/rate/perhaps,PayPal,phish,PayPal login at https://secure-bailey-rose.com/drive/rate/perhaps for daniel00@yahoo.com
42,edgar60@cowan.info,https://wagner.com/most/night,Apple,phish,Apple login at https://wagner.com/most/night for edgar60@cowan.info
43,saundersbarbara@meyers.biz,https://chapman.org/my/determine,NAB,benign,NAB login at https://chapman.org/my/determine for saundersbarbara@meyers.biz
44,ymccoy@gmail.com,https://martinez-gonzalez.com/minute/by/small,NAB,benign,NAB login at https://martinez-gonzalez.com/minute/by/small for ymccoy@gmail.com
45,troy09@wright.com,https://schroeder.net/rich/side,Apple,benign,Apple login at https://schroeder.net/rich/side for troy09@wright.com
46,solisoscar@brooks.com,https://ritter-matthews.com/federal/charge/draw,Apple,phish,Apple login at https://ritter-matthews.com/federal/charge/draw for solisoscar@brooks.com
47,mark36@young.com,https://lawson.org/appear,Facebook,phish,Facebook login at https://lawson.org/appear for mark36@young.com
48,mark34@yahoo.com,https://logan.com/piece/minute,Apple,phish,Apple login at https://logan.com/piece/minute for mark34@yahoo.com
49,ilewis@warner.com,https://secure-cruz-ewing.com/usually/idea/present,Apple,benign,Apple login at https://secure-cruz-ewing.com/usually/idea/present for ilewis@warner.com
50,qbray@sanchez.com,https://warren.com/wind/school,Facebook,phish,Facebook login at https://warren.com/wind/school for qbray@sanchez.com
51,rhodesrachel@byrd-davis.biz,https://navarro.org/none/property/clearly,PayPal,phish,PayPal login at https://navarro.org/none/property/clearly for rhodesrachel@byrd-davis.biz
52,eric26@gmail.com,https://smith.org/morning/fast,Facebook,benign,Facebook login at https://smith.org/morning/fast for eric26@gmail.com
53,rodney49@hotmail.com,https://secure-lopez-day.net/sometimes/there,ANZ,benign,ANZ login at https://secure-lopez-day.net/sometimes/there for rodney49@hotmail.com
54,hoovermichelle@taylor-bryan.org,https://secure-macdonald.net/billion,Microsoft,phish,Microsoft login at https://secure-macdonald.net/billion for hoovermichelle@taylor-bryan.org
55,vdurham@hotmail.com,https://mays.biz/drive,Microsoft,benign,Microsoft login at https://mays.biz/drive for vdurham@hotmail.com
56,smithjill@carter.com,https://secure-meyer.com/different/end/walk,ANZ,phish,ANZ login at https://secure-meyer.com/different/end/walk for smithjill@carter.com
57,pamela62@gonzalez-baker.com,https://neal-smith.biz/senior/action,PayPal,benign,PayPal login at https://neal-smith.biz/senior/action for pamela62@gonzalez-baker.com
58,martin30@gomez-thomas.info,https://carr-gonzalez.com/push/interest,ANZ,benign,ANZ login at https://carr-gonzalez.com/push/interest for martin30@gomez-thomas.info
59,roberttownsend@yahoo.com,https://secure-gonzalez.com/major/community/between,PayPal,benign,PayPal login at https://secure-gonzalez.com/major/community/between for roberttownsend@yahoo.com
60,mhorton@jennings-hamilton.com,https://ware-banks.com/expert/fund,Microsoft,benign,Microsoft login at https://ware-banks.com/expert/fund for mhorton@jennings-hamilton.com
61,ryan25@yahoo.com,https://secure-moore.com/change/maintain/position,Microsoft,phish,Microsoft login at https://secure-moore.com/change/maintain/position for ryan25@yahoo.com
62,xneal@adams-williamson.com,https://allen-orozco.net/magazine,Microsoft,benign,Microsoft login at https://allen-orozco.net/magazine for xneal@adams-williamson.com
63,munoztiffany@butler.com,https://stephens.com/interview,PayPal,phish,PayPal login at https://stephens.com/interview for munoztiffany@butler.com
64,hulljames@harrison-wilkinson.info,https://cisneros.com/far/have/listen,Amazon,phish,Amazon login at https://cisneros.com/far/have/listen for hulljames@harrison-wilkinson.info
65,estesdouglas@yahoo.com,https://secure-ruiz.biz/education/her/race,Amazon,benign,Amazon login at https://secure-ruiz.biz/education/her/race for estesdouglas@yahoo.com
66,angelagonzalez@gmail.com,https://secure-james.com/hit/recent,NAB,phish,NAB login at https://secure-james.com/hit/recent for angelagonzalez@gmail.com
67,brewermark@gmail.com,https://secure-williams.com/pretty/trip/dog,Apple,benign,Apple login at https://secure-williams.com/pretty/trip/dog for brewermark@gmail.com
