data_subject_id,dataset,label,node,record_text,created_at,value,owner_email
CIF007261,cifar10,8,QLD,cifar10 sample record 8,2024-04-30,0.6978,user160@example.com
CIF002798,cifar10,0,QLD,cifar10 sample record 0,2024-04-01,2.5755,user20154@example.com
CIF005187,cifar10,9,WA,cifar10 sample record 9,2024-07-30,2.1345,user16709@example.com
CIF004749,cifar10,7,SA,cifar10 sample record 7,2024-10-10,-1.637,user332@example.com
CIF010524,cifar10,8,WA,cifar10 sample record 8,2024-09-06,-0.2987,user32202@example.com
CIF000630,cifar10,4,ACT,cifar10 sample record 4,2024-01-21,-1.1088,user6143@example.com
CIF006887,cifar10,1,NSW,cifar10 sample record 1,2024-08-25,-0.7438,user14477@example.com
CIF005429,cifar10,2,ACT,cifar10 sample record 2,2024-07-31,1.3897,user35000@example.com
CIF010787,cifar10,9,WA,cifar10 sample record 9,2024-02-18,1.3692,user22916@example.com
CIF008116,cifar10,5,TAS,cifar10 sample record 5,2024-12-03,0.9253,user39647@example.com
CIF001463,cifar10,0,NT,cifar10 sample record 0,2024-02-08,1.0902,user12629@example.com
CIF011678,cifar10,4,QLD,cifar10 sample record 4,2024-10-05,-1.4813,user27938@example.com
CIF007207,cifar10,8,WA,cifar10 sample record 8,2024-07-18,0.8858,user16654@example.com
CIF011052,cifar10,7,WA,cifar10 sample record 7,2024-03-01,0.7153,user34790@example.com
CIF009221,cifar10,5,QLD,cifar10 sample record 5,2024-01-18,-1.2727,user11423@example.com
CIF013020,cifar10,0,NT,cifar10 sample record 0,2024-10-05,-0.1757,user33396@example.com
CIF003627,cifar10,4,NSW,cifar10 sample record 4,2024-05-26,0.2006,user26123@example.com
CIF005654,cifar10,3,SA,cifar10 sample record 3,2024-02-16,-0.7336,user31345@example.com
CIF005726,cifar10,4,QLD,cifar10 sample record 4,2024-06-09,-0.4869,user12188@example.com
CIF008742,cifar10,8,WA,cifar10 sample record 8,2024-10-17,0.9158,user32442@example.com
CIF004237,cifar10,1,QLD,cifar10 sample record 1,2024-09-25,-0.3956,user12881@example.com
CIF003619,cifar10,8,VIC,cifar10 sample record 8,2024-08-29,-0.9327,user3492@example.com
CIF014925,cifar10,8,NSW,cifar10 sample record 8,2024-02-10,-2.3957,user20016@example.com
CIF006730,cifar10,6,TAS,cifar10 sample record 6,2024-03-21,0.8036,user7953@example.com
CIF001665,cifar10,3,VIC,cifar10 sample record 3,2024-04-05,0.4791,user2210@example.com
CIF003114,cifar10,1,ACT,cifar10 sample record 1,2024-12-15,-0.93,user11120@example.com
CIF009616,cifar10,4,VIC,cifar10 sample record 4,2024-08-29,-0.0425,user4217@example.com
CIF013131,cifar10,2,QLD,cifar10 sample record 2,2024-10-29,0.1668,user24102@example.com
CIF005318,cifar10,6,TAS,cifar10 sample record 6,2024-05-24,-2.0185,user7222@example.com
CIF008318,cifar10,7,ACT,cifar10 sample record 7,2024-12-18,-0.4567,user10344@example.com
CIF003368,cifar10,9,WA,cifar10 sample record 9,2024-02-26,0.0162,user39530@example.com
CIF004109,cifar10,9,TAS,cifar10 sample record 9,2024-03-24,0.7453,user27933@example.com
CIF004742,cifar10,5,WA,cifar10 sample record 5,2024-01-10,-1.0128,user37654@example.com
CIF011424,cifar10,3,WA,cifar10 sample record 3,2024-11-06,2.1405,user8636@example.com
CIF001272,cifar10,0,SA,cifar10 sample record 0,2024-08-25,0.4559,user14219@example.com
CIF001487,cifar10,2,SA,cifar10 sample record 2,2024-02-12,-0.9578,user2142@example.com
CIF002033,cifar10,1,TAS,cifar10 sample record 1,2024-05-12,-1.4721,user3963@example.com
CIF013979,cifar10,9,QLD,cifar10 sample record 9,2024-03-23,0.7717,user34234@example.com
CIF014922,cifar10,7,WA,cifar10 sample record 7,2024-05-01,-0.7057,user38956@example.com
CIF004629,cifar10,6,ACT,cifar10 sampleorecord 6,2024-03-02,1.8863,user29045@xxample.com
CIF010083,cifar10,4,SA,cifar10 sample record 4,2024-10-01,-0.8259,user10489@example.com
CIF011641,cifar10,3,VIC,cifar10 sample record 3,2024-04-12,0.727,user3788@example.com
CIF009142,cifar10,4,WA,cifar10 sample record 4,2024-04-08,0.4126,user30304@example.com
CIF007332,cifar10,2,NSW,cifar10 sample record 2,2024-08-08,-0.1035,user33093@example.com
CIF001052,cifar10,2,TAS,cifar10 sample record 2,2024-04-17,-1.8282,user39630@example.com
CIF009118,cifar10,3,TAS,cifar10 sample record 3,2024-05-12,-0.8206,user34188@example.com
CIF009284,cifar10,6,VIC,cifar10 sample record 6,2024-11-19,0.5135,user28359@example.com
CIF013931,cifar10,4,QLD,cifar10 sample record 4,2024-04-24,0.8792,user34402@example.com
CIF000069,cifar10,3,NSW,cifar10 sample record 3,2024-10-24,-0.4899,user26422@example.com
CIF009097,cifar10,0,VIC,cifar10 sample record 0,2024-12-17,-0.7056,user16339@example.com
CIF005715,cifar10,7,TAS,cifar10 sample record 7,2024-10-17,0.4913,user8170@example.com
CIF014561,cifar10,9,WA,cifar10 sample record 9,2024-11-06,-1.0089,user17690@example.com
CIF004660,cifar10,0,NSW,cifar10 sample record 0,2024-07-18,-1.4557,user5825@example.com
CIF004037,cifar10,9,TAS,cifar10 sample record 9,2024-10-22,-2.0954,user39405@example.com
CIF003005,cifar10,4,TAS,cifar10 sample record 4,2024-04-28,-0.7137,user18055@example.com
CIF011001,cifar10,6,NT,cifar10 sample record 6,2024-04-21,-1.4699,user37605@example.com
CIF009745,cifar10,7,QLD,cifar10 sample record 7,2024-10-08,1.7557,user32288@example.com
CIF007045,cifar10,8,NT,cifar10 sample record 8,2024-12-02,-2.6674,user9742@example.com
CIF013224,cifar10,5,VIC,cifar10 sample record 5,2024-07-05,-0.838,user2242@example.com
CIF006710,cifar10,8,ACT,cifar10 samplf record 8,2024-10-08,-0.0303,user4503@example.nom
CIF004446,cifar10,2,NT,cifar10 sample record 2,2024-06-27,-1.08,user4827@example.com
CIF006038,cifar10,7,VIC,cifar10 sample record 7,2024-02-02,2.699,user19636@example.com
CIF011392,cifar10,6,VIC,cifar10 sample record 6,2024-12-18,-1.0687,user5082@example.com
CIF005323,cifar10,9,QLD,cifar10 sample record 9,2024-01-12,0.0641,user26452@example.com
CIF000894,cifar10,4,VIC,cifar10 sample record 4,2024-05-12,-0.6463,user33361@example.com
CIF010172,cifar10,3,TAS,cifar10 sample record 3,2024-06-13,-0.3503,user13499@example.com
CIF005451,cifar10,6,WA,cifar10 sample record 6,2024-03-20,-0.2094,user4569@example.com
CIF011254,cifar10,4,TAS,cifar10 sample record 4,2024-02-13,1.5166,user15506@example.com
CIF008208,cifar10,3,ACT,cifar10 sample record 3,2024-12-25,0.0583,user4430@example.com
CIF005485,cifar10,0,SA,cifar10 sample record 0,2024-09-29,0.6295,user25481@example.com
CIF010852,cifar10,2,QLD,cifar10 sample record 2,2024-10-22,0.0486,user6770@example.com
CIF005648,cifar10,5,SA,cifar10 sample recordz5,2024-05-02,0.2931,user13209@example.com
CIF008734,cifar10,9,ACT,cifar10 sample record 9,2024-02-24,-0.5714,user14843@example.com
CIF011888,cifar10,7,VIC,cifar10 sample record 7,2024-05-16,-0.1238,user37608@example.com
CIF012160,cifar10,3,NSW,cifar10 sample record 3,2024-01-13,0.6659,user527@example.com
CIF000538,cifar10,2,WA,cifar10 sample record 2,2024-11-22,-1.6556,user16691@example.com
CIF001139,cifar10,0,ACT,cifar10 sample record 0,2024-07-13,-0.2565,user5954@example.com
CIF012101,cifar10,3,WA,cifar10 sample record 3,2024-01-16,-0.3013,user14313@example.com
CIF002317,cifar10,6,QLD,cifar10 sample record 6,2024-10-21,-1.6939,user25035@example.com
CIF007400,cifar10,9,VIC,cifar10 sample record 9,2024-02-02,0.6573,user19208@example.com
CIF000793,cifar10,7,SA,cifar10 sample record 7,2024-09-15,-0.4232,user29667@example.com
CIF009812,cifar10,7,SA,cifar10 sample record 7,2024-06-21,0.822,user13939@example.com
CIF008319,cifar10,9,NT,cifar10 sample record 9,2024-07-11,0.0918,user23502@example.com
CIF002428,cifar10,4,SA,cifar10 sample record 4,2024-06-20,-1.5327,user31679@example.com
