data_subject_id,dataset,label,node,record_text,created_at,value,owner_email
MNI007261,mnist,1,ACT,mnist sample record 1,2024-10-07,-0.9669,user37689@example.com
MNI002798,mnist,0,SA,mnist sample record 0,2024-05-06,1.7377,user24186@example.com
MNI005187,mnist,5,ACT,mnist sample record 5,2024-12-08,-1.0578,user36146@example.com
MNI004749,mnist,2,TAS,mnist sample record 2,2024-03-25,-1.7436,user28066@example.com
MNI010524,mnist,1,VIC,mnist sample record 1,2024-01-11,-0.5791,user22960@example.com
MNI000630,mnist,2,TAS,mnist sample record 2,2024-12-15,-0.6808,user3727d@example.com
MNI006887,mnist,3,NT,mnist sample record 3,2024-01-09,-0.1538,user17143@example.com
MNI005429,mnist,7,QLD,mnist sample record 7,2024-12-20,2.0503,user20018@example.com
MNI010787,mnist,7,NSW,mnist sample record 7,2024-09-25,1.28,user426@example.com
MNI008116,mnist,5,SA,mnist sample record 5,2024-12-26,0.8712,user20493@example.com
MNI001463,mnist,1,NT,mnist sample record 1,2024-07-27,0.0795,user32127@example.com
MNI011678,mnist,5,WA,mnist sample record 5,2024-12-30,-0.4966,user4486@example.com
MNI007207,mnist,7,QLD,mnist sample record 7,2024-04-24,-0.405,user36631@example.com
MNI011052,mnist,7,QLD,mnist sample record 7,2024-04-29,0.8516,user12738@example.com
MNI009221,mnist,6,QLD,mnist sample record 6,2024-05-31,-0.2779,user23027@example.com
MNI013020,mnist,7,NSW,mnist sample record 7,2024-06-25,-0.3957,user30104@example.com
MNI003627,mnist,4,WA,mnist sample record 4,2024-06-13,0.3684,user38892@example.com
MNI005654,mnist,7,ACT,mnist sample record 7,2024-03-11,1.039,user2323@example.com
MNI005726,mnist,3,NT,mnist sample record 3,2024-08-04,-0.3611,user15568@example.com
MNI008742,mnist,6,ACT,mnist sample record 6,2024-03-02,-0.1021,user20179@example.com
MNI004237,mnist,3,QLD,mnist sample record 3,2024-10-15,0.2514,user28937@example.com
MNI003619,mnist,1,NT,mnist sample record 1,2024-10-05,0.834,user20615@example.com
